action,decision,Vdig,Vmove,w_t,alien_level,position,step,row,col,total_reward,round_reward,round,forager_role_mode,alpha,r_gained
move,move,0.0,0.345945945945946,0.6,,"(8, 10)",37,8,10,12.800000000000002,12.800000000000002,14,unknown,-0.345945945945946,
move,move,0.0,0.33684210526315794,0.6,,"(9, 10)",38,9,10,12.800000000000002,12.800000000000002,14,unknown,-0.13684210526315793,
move,move,0.2,0.32820512820512826,0.6,,"(8, 10)",39,8,10,12.800000000000002,12.800000000000002,14,unknown,-0.32820512820512826,
move,move,0.0,0.32000000000000006,0.6,,"(8, 9)",40,8,9,12.800000000000002,12.800000000000002,16,unknown,-0.32000000000000006,
move,move,0.0,0.31219512195121957,0.6,,"(9, 9)",41,9,9,12.800000000000002,12.800000000000002,16,unknown,-0.11219512195121956,
move,move,0.2,0.30476190476190484,0.6,,"(8, 9)",42,8,9,12.800000000000002,12.800000000000002,16,unknown,-0.30476190476190484,
move,move,0.0,0.2976744186046512,0.6,,"(8, 8)",43,8,8,12.800000000000002,12.800000000000002,16,unknown,-0.2976744186046512,
move,move,0.0,0.29090909090909095,0.6,,"(8, 9)",44,8,9,12.800000000000002,12.800000000000002,16,unknown,-0.29090909090909095,
move,move,0.0,0.2844444444444445,0.6,,"(9, 9)",45,9,9,12.800000000000002,12.800000000000002,18,unknown,-0.08444444444444449,
move,move,0.2,0.27826086956521745,0.6,,"(10, 9)",46,10,9,12.800000000000002,12.800000000000002,18,unknown,-0.27826086956521745,
move,move,0.0,0.27234042553191495,0.6,,"(9, 9)",47,9,9,12.800000000000002,12.800000000000002,18,unknown,-0.07234042553191494,
move,move,0.2,0.2666666666666667,0.6,,"(9, 8)",48,9,8,12.800000000000002,12.800000000000002,18,unknown,0.23333333333333328,
dig,dig,0.5,0.2612244897959184,0.6,,"(9, 8)",49,9,8,13.300000000000002,13.300000000000002,18,unknown,0.22857142857142854,0.5
dig,dig,0.5,0.26600000000000007,0.6,,"(9, 8)",50,9,8,13.800000000000002,13.800000000000002,20,unknown,0.22399999999999998,0.5
dig,dig,0.5,0.2705882352941177,0.6,,"(9, 8)",51,9,8,14.300000000000002,14.300000000000002,20,unknown,0.21960784313725484,0.5
dig,dig,0.5,0.275,0.6,,"(9, 8)",52,9,8,14.800000000000002,14.800000000000002,20,unknown,0.21538461538461534,0.5
dig,dig,0.5,0.279245283018868,0.6,,"(9, 8)",53,9,8,15.300000000000002,15.300000000000002,20,unknown,-0.2886792452830189,0.5
move,move,0.0,0.2833333333333334,0.6,,"(10, 8)",54,10,8,15.300000000000002,15.300000000000002,20,unknown,0.21666666666666662,
dig,dig,0.5,0.27818181818181825,0.6,,"(10, 8)",55,10,8,15.800000000000002,15.800000000000002,22,unknown,0.2127272727272727,0.5
dig,dig,0.5,0.2821428571428572,0.6,,"(10, 8)",56,10,8,16.300000000000004,16.300000000000004,22,unknown,0.20892857142857135,0.5
dig,dig,0.5,0.2859649122807018,0.6,,"(10, 8)",57,10,8,16.800000000000004,16.800000000000004,22,unknown,0.20526315789473676,0.5
dig,dig,0.5,0.2896551724137932,0.6,,"(10, 8)",58,10,8,17.300000000000004,17.300000000000004,22,unknown,0.2017241379310344,0.5
dig,dig,0.5,0.29322033898305094,0.6,,"(10, 8)",59,10,8,17.800000000000004,17.800000000000004,22,unknown,-0.30169491525423736,0.5
move,move,0.0,0.29666666666666675,0.6,,"(10, 7)",60,10,7,17.800000000000004,17.800000000000004,24,unknown,-0.29666666666666675,
move,move,0.0,0.2918032786885247,0.6,,"(10, 6)",61,10,6,17.800000000000004,17.800000000000004,24,unknown,-0.2918032786885247,
move,move,0.0,0.28709677419354845,0.6,,"(10, 5)",62,10,5,17.800000000000004,17.800000000000004,24,unknown,0.5129032258064516,
dig,dig,0.8,0.2825396825396826,0.6,,"(10, 5)",63,10,5,18.600000000000005,18.600000000000005,24,unknown,0.5047619047619047,0.8
dig,dig,0.8,0.2906250000000001,0.6,,"(10, 5)",64,10,5,19.400000000000006,19.400000000000006,24,unknown,0.49687499999999996,0.8
