action,decision,v_chase,v_move,position,global_step,round,step_in_round,security_row,security_col,security_move,p_alien_belief,gold_mines_map_count,gold_mine_total_ground_truth,inferred_forager_movement,Vmove_t,Vchase_t,lead_weight,follow_weight,alpha
,,,,,38.0,7.0,3.0,5.0,9.0,move,0.35,5.0,40.0,0.41058333333333336,0.14370416666666666,0.322,10.0,0.2,1.0
move,move,0.322,0.22533333333333333,"(5, 10)",,,,,,,,,,,,,,,
,,,,,39.0,7.0,4.0,5.0,10.0,move,0.87,5.0,40.0,0.6438095238095238,0.11202285714285715,0.8004,10.0,0.2,1.0
,,,,,45.0,9.0,0.0,5.0,10.0,chase_at_spot,0.87,5.0,40.0,0.12504761904761907,0.1087914285714286,0.8004,10.0,0.2,1.0
move,move,0.8004,0.1087914285714286,"(6, 10)",,,,,,,,,,,,,,,
,,,,,46.0,9.0,1.0,6.0,10.0,move,0.35,5.0,40.0,0.12504761904761907,0.21883333333333335,0.322,10.0,0.2,1.0
move,move,0.322,0.21404861111111115,"(7, 10)",,,,,,,,,,,,,,,
,,,,,47.0,9.0,2.0,7.0,10.0,move,0.35,5.0,40.0,0.6115674603174605,0.21404861111111115,0.322,10.0,0.2,1.0
move,move,0.322,0.11937430555555557,"(6, 10)",,,,,,,,,,,,,,,
,,,,,48.0,9.0,3.0,6.0,10.0,move,0.35,5.0,40.0,0.34106944444444454,0.11937430555555557,0.322,10.0,0.2,1.0
move,move,0.322,0.21404861111111115,"(7, 10)",,,,,,,,,,,,,,,
,,,,,49.0,9.0,4.0,7.0,10.0,move,0.35,5.0,40.0,0.6115674603174605,0.21404861111111115,0.322,10.0,0.2,1.0
move,move,0.322,0.11937430555555557,"(7, 11)",,,,,,,,,,,,,,,
,,,,,55.0,11.0,0.0,7.0,11.0,move,0.35,5.0,40.0,0.34106944444444454,0.11937430555555557,0.322,10.0,0.2,1.0
move,move,0.322,0.08612828282828283,"(6, 11)",,,,,,,,,,,,,,,
,,,,,56.0,11.0,1.0,6.0,11.0,move,0.35,5.0,40.0,0.2460808080808081,0.08612828282828283,0.322,10.0,0.2,1.0
move,move,0.322,0.11937430555555557,"(5, 11)",,,,,,,,,,,,,,,
,,,,,57.0,11.0,2.0,5.0,11.0,move,0.35,5.0,40.0,0.34106944444444454,0.11937430555555557,0.322,10.0,0.2,1.0
move,move,0.322,0.21404861111111115,"(4, 11)",,,,,,,,,,,,,,,
,,,,,58.0,11.0,3.0,4.0,11.0,move,0.35,5.0,40.0,0.6115674603174605,0.21404861111111115,0.322,10.0,0.2,1.0
move,move,0.322,0.12783333333333335,"(3, 11)",,,,,,,,,,,,,,,
,,,,,59.0,11.0,4.0,3.0,11.0,move,0.675,6.0,40.0,0.3652380952380953,0.12326785714285715,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.24026785714285717,"(3, 12)",,,,,,,,,,,,,,,
,,,,,65.0,13.0,0.0,3.0,12.0,move,0.35,7.0,40.0,0.35595238095238096,0.2491666666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.24821874999999996,"(4, 12)",,,,,,,,,,,,,,,
,,,,,66.0,13.0,1.0,4.0,12.0,move,0.35,7.0,40.0,0.7091964285714285,0.24821874999999996,0.322,10.0,0.2,1.0
move,move,0.322,0.26334027777777774,"(5, 12)",,,,,,,,,,,,,,,
,,,,,67.0,13.0,2.0,5.0,12.0,move,0.675,7.0,40.0,0.7524007936507936,0.2539352678571428,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.2613609375,"(6, 12)",,,,,,,,,,,,,,,
,,,,,68.0,13.0,3.0,6.0,12.0,move,0.35,7.0,40.0,0.38720138888888883,0.2710409722222222,0.322,10.0,0.2,1.0
move,move,0.322,0.22831578282828283,"(5, 12)",,,,,,,,,,,,,,,
,,,,,69.0,13.0,4.0,5.0,12.0,move,0.675,7.0,40.0,0.6523308080808081,0.22016164772727273,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.2979234375,"(6, 12)",,,,,,,,,,,,,,,
,,,,,75.0,15.0,0.0,6.0,12.0,move,0.35,8.0,40.0,0.4413680555555555,0.3089576388888889,0.322,10.0,0.2,1.0
move,move,0.322,0.2851907828282828,"(7, 12)",,,,,,,,,,,,,,,
,,,,,76.0,15.0,1.0,7.0,12.0,move,0.35,8.0,40.0,0.8148308080808081,0.2851907828282828,0.322,10.0,0.2,1.0
move,move,0.322,0.26196969696969696,"(8, 12)",,,,,,,,,,,,,,,
,,,,,77.0,15.0,2.0,8.0,12.0,move,0.675,8.0,40.0,0.7484848484848485,0.2526136363636364,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.22000909090909088,"(8, 11)",,,,,,,,,,,,,,,
,,,,,78.0,15.0,3.0,8.0,11.0,move,0.35,8.0,40.0,0.32593939393939386,0.22815757575757573,0.322,10.0,0.2,1.0
move,move,0.322,0.233532196969697,"(9, 11)",,,,,,,,,,,,,,,
,,,,,79.0,15.0,4.0,9.0,11.0,move,0.35,8.0,40.0,0.6672348484848486,0.233532196969697,0.322,10.0,0.2,1.0
move,move,0.322,0.15611590909090908,"(9, 10)",,,,,,,,,,,,,,,
,,,,,85.0,17.0,0.0,9.0,10.0,move,0.48,9.0,40.0,0.4460454545454546,0.17128145454545457,0.4416,10.0,0.2,1.0
move,move,0.4416,0.20540675324675325,"(9, 9)",,,,,,,,,,,,,,,
,,,,,86.0,17.0,1.0,9.0,9.0,move,0.48,10.0,40.0,0.42793073593073594,0.20540675324675325,0.4416,10.0,0.2,1.0
move,move,0.4416,0.23233960173160176,"(8, 9)",,,,,,,,,,,,,,,
,,,,,87.0,17.0,2.0,8.0,9.0,move,0.35,10.0,40.0,0.484040836940837,0.21176786616161616,0.322,10.0,0.2,1.0
move,move,0.322,0.21524930555555552,"(8, 8)",,,,,,,,,,,,,,,
,,,,,88.0,17.0,3.0,8.0,8.0,move,0.35,10.0,40.0,0.6149980158730158,0.21524930555555552,0.322,10.0,0.2,1.0
move,move,0.322,0.16527152777777776,"(8, 9)",,,,,,,,,,,,,,,
,,,,,89.0,17.0,4.0,8.0,9.0,move,0.35,10.0,40.0,0.47220436507936503,0.16527152777777776,0.322,10.0,0.2,1.0
move,move,0.322,0.21524930555555552,"(9, 9)",,,,,,,,,,,,,,,
,,,,,95.0,19.0,0.0,9.0,9.0,move,0.48,10.0,40.0,0.6149980158730158,0.23615923809523806,0.4416,10.0,0.2,1.0
move,move,0.4416,0.23233960173160176,"(10, 9)",,,,,,,,,,,,,,,
,,,,,96.0,19.0,1.0,10.0,9.0,move,0.35,10.0,40.0,0.484040836940837,0.21176786616161616,0.322,10.0,0.2,1.0
move,move,0.322,0.17128566919191918,"(11, 9)",,,,,,,,,,,,,,,
,,,,,97.0,19.0,2.0,11.0,9.0,move,0.35,10.0,40.0,0.4893876262626263,0.17128566919191918,0.322,10.0,0.2,1.0
move,move,0.322,0.12802146464646466,"(11, 10)",,,,,,,,,,,,,,,
,,,,,98.0,19.0,3.0,11.0,10.0,move,0.35,10.0,40.0,0.3657756132756133,0.12802146464646466,0.322,10.0,0.2,1.0
move,move,0.322,0.13733680555555555,"(12, 10)",,,,,,,,,,,,,,,
,,,,,99.0,19.0,4.0,12.0,10.0,move,0.35,10.0,40.0,0.392390873015873,0.13733680555555555,0.322,10.0,0.2,1.0
move,move,0.322,0.11358055555555556,"(11, 10)",,,,,,,,,,,,,,,
,,,,,105.0,21.0,0.0,11.0,10.0,move,0.35,10.0,40.0,0.32451587301587304,0.11358055555555556,0.322,10.0,0.2,1.0
move,move,0.322,0.13733680555555555,"(10, 10)",,,,,,,,,,,,,,,
,,,,,106.0,21.0,1.0,10.0,10.0,move,0.87,11.0,40.0,0.392390873015873,0.0682760119047619,0.8004,10.0,0.2,1.0
,,,,,107.0,21.0,2.0,10.0,10.0,chase_at_spot,0.87,11.0,40.0,0.20953647186147187,0.18229673051948053,0.8004,10.0,0.2,1.0
move,move,0.8004,0.18229673051948053,"(9, 10)",,,,,,,,,,,,,,,
,,,,,108.0,21.0,3.0,9.0,10.0,move,0.48,11.0,40.0,0.20953647186147187,0.402310025974026,0.4416,10.0,0.2,1.0
move,move,0.4416,0.45500675324675327,"(8, 10)",,,,,,,,,,,,,,,
,,,,,109.0,21.0,4.0,8.0,10.0,move,0.35,11.0,40.0,0.9479307359307361,0.414719696969697,0.322,10.0,0.2,1.0
move,move,0.322,0.3439616161616162,"(7, 10)",,,,,,,,,,,,,,,
,,,,,115.0,23.0,0.0,7.0,10.0,move,0.35,11.0,40.0,0.9827474747474748,0.3439616161616162,0.322,10.0,0.2,1.0
move,move,0.322,0.30706180555555557,"(6, 10)",,,,,,,,,,,,,,,
,,,,,116.0,23.0,1.0,6.0,10.0,move,0.35,11.0,40.0,0.8773194444444445,0.30706180555555557,0.322,10.0,0.2,1.0
move,move,0.322,0.38088194444444445,"(6, 9)",,,,,,,,,,,,,,,
,,,,,117.0,23.0,2.0,6.0,9.0,move,0.35,11.0,40.0,1.0882341269841271,0.38088194444444445,0.322,10.0,0.2,1.0
move,move,0.322,0.2647125,"(5, 9)",,,,,,,,,,,,,,,
,,,,,118.0,23.0,3.0,5.0,9.0,move,0.35,11.0,40.0,0.7563214285714287,0.2647125,0.322,10.0,0.2,1.0
move,move,0.322,0.3614541666666667,"(4, 9)",,,,,,,,,,,,,,,
,,,,,119.0,23.0,4.0,4.0,9.0,move,0.35,11.0,40.0,1.0327261904761906,0.3614541666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.2689916666666667,"(3, 9)",,,,,,,,,,,,,,,
,,,,,125.0,25.0,0.0,3.0,9.0,move,0.35,11.0,40.0,0.7685476190476191,0.2689916666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.24366875000000005,"(2, 9)",,,,,,,,,,,,,,,
,,,,,126.0,25.0,1.0,2.0,9.0,move,0.35,11.0,40.0,0.6961964285714287,0.24366875000000005,0.322,10.0,0.2,1.0
move,move,0.322,0.19444027777777778,"(2, 10)",,,,,,,,,,,,,,,
,,,,,127.0,25.0,2.0,2.0,10.0,move,0.35,11.0,40.0,0.5555436507936509,0.19444027777777778,0.322,10.0,0.2,1.0
move,move,0.322,0.22888124999999998,"(2, 11)",,,,,,,,,,,,,,,
,,,,,128.0,25.0,3.0,2.0,11.0,move,0.35,11.0,40.0,0.6539464285714286,0.22888124999999998,0.322,10.0,0.2,1.0
move,move,0.322,0.26889236111111103,"(1, 11)",,,,,,,,,,,,,,,
,,,,,129.0,25.0,4.0,1.0,11.0,move,0.35,11.0,40.0,0.7682638888888887,0.26889236111111103,0.322,10.0,0.2,1.0
move,move,0.322,0.18793124999999997,"(1, 12)",,,,,,,,,,,,,,,
,,,,,135.0,27.0,0.0,1.0,12.0,move,0.35,11.0,40.0,0.5369464285714285,0.18793124999999997,0.322,10.0,0.2,1.0
move,move,0.322,0.16483737373737373,"(2, 12)",,,,,,,,,,,,,,,
,,,,,136.0,27.0,1.0,2.0,12.0,move,0.35,11.0,40.0,0.470963924963925,0.16483737373737373,0.322,10.0,0.2,1.0
move,move,0.322,0.2078375,"(3, 12)",,,,,,,,,,,,,,,
,,,,,137.0,27.0,2.0,3.0,12.0,move,0.35,11.0,40.0,0.5938214285714286,0.2078375,0.322,10.0,0.2,1.0
move,move,0.322,0.3019340277777777,"(4, 12)",,,,,,,,,,,,,,,
,,,,,138.0,27.0,3.0,4.0,12.0,move,0.35,11.0,40.0,0.8626686507936507,0.3019340277777777,0.322,10.0,0.2,1.0
move,move,0.322,0.32671527777777776,"(5, 12)",,,,,,,,,,,,,,,
,,,,,139.0,27.0,4.0,5.0,12.0,move,0.675,11.0,40.0,0.9334722222222221,0.3150468749999999,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.3365752232142857,"(5, 11)",,,,,,,,,,,,,,,
,,,,,145.0,29.0,0.0,5.0,11.0,move,0.35,11.0,40.0,0.49862996031746026,0.34904097222222225,0.322,10.0,0.2,1.0
move,move,0.322,0.4601277777777778,"(6, 11)",,,,,,,,,,,,,,,
,,,,,146.0,29.0,1.0,6.0,11.0,move,0.35,11.0,40.0,1.3146507936507938,0.4601277777777778,0.322,10.0,0.2,1.0
move,move,0.322,0.3089576388888889,"(6, 10)",,,,,,,,,,,,,,,
,,,,,147.0,29.0,2.0,6.0,10.0,move,0.35,11.0,40.0,0.8827361111111112,0.3089576388888889,0.322,10.0,0.2,1.0
move,move,0.322,0.38088194444444445,"(6, 9)",,,,,,,,,,,,,,,
,,,,,148.0,29.0,3.0,6.0,9.0,move,0.35,11.0,40.0,1.0882341269841271,0.38088194444444445,0.322,10.0,0.2,1.0
move,move,0.322,0.2647125,"(6, 8)",,,,,,,,,,,,,,,
,,,,,149.0,29.0,4.0,6.0,8.0,move,0.35,11.0,40.0,0.7563214285714287,0.2647125,0.322,10.0,0.2,1.0
move,move,0.322,0.215475,"(7, 8)",,,,,,,,,,,,,,,
,,,,,155.0,31.0,0.0,7.0,8.0,move,0.35,11.0,40.0,0.6156428571428572,0.215475,0.322,10.0,0.2,1.0
move,move,0.322,0.20323333333333335,"(7, 7)",,,,,,,,,,,,,,,
,,,,,156.0,31.0,1.0,7.0,7.0,move,0.35,11.0,40.0,0.5806666666666668,0.20323333333333335,0.322,10.0,0.2,1.0
move,move,0.322,0.17996875,"(7, 6)",,,,,,,,,,,,,,,
,,,,,157.0,31.0,2.0,7.0,6.0,move,0.35,11.0,40.0,0.5141964285714287,0.17996875,0.322,10.0,0.2,1.0
move,move,0.322,0.16882847222222222,"(7, 5)",,,,,,,,,,,,,,,
,,,,,158.0,31.0,3.0,7.0,5.0,move,0.35,11.0,40.0,0.48236706349206354,0.16882847222222222,0.322,10.0,0.2,1.0
move,move,0.322,0.1685576388888889,"(7, 4)",,,,,,,,,,,,,,,
,,,,,159.0,31.0,4.0,7.0,4.0,move,0.35,11.0,40.0,0.48159325396825403,0.1685576388888889,0.322,10.0,0.2,1.0
move,move,0.322,0.15738535353535354,"(8, 4)",,,,,,,,,,,,,,,
,,,,,165.0,33.0,0.0,8.0,4.0,move,0.48,13.0,40.0,0.4496724386724387,0.17267421645021647,0.4416,10.0,0.2,1.0
move,move,0.4416,0.21689897835497834,"(9, 4)",,,,,,,,,,,,,,,
,,,,,166.0,33.0,1.0,9.0,4.0,move,0.675,14.0,40.0,0.4518728715728716,0.19063386769480517,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.3013205357142857,"(9, 3)",,,,,,,,,,,,,,,
,,,,,167.0,33.0,2.0,9.0,3.0,move,0.35,14.0,40.0,0.4464007936507936,0.3124805555555556,0.322,10.0,0.2,1.0
move,move,0.322,0.29712184343434345,"(9, 2)",,,,,,,,,,,,,,,
,,,,,168.0,33.0,3.0,9.0,2.0,move,0.48,14.0,40.0,0.8489195526695528,0.32598510822510823,0.4416,10.0,0.2,1.0
move,move,0.4416,0.24211650216450215,"(10, 2)",,,,,,,,,,,,,,,
,,,,,169.0,33.0,4.0,10.0,2.0,move,0.35,14.0,40.0,0.5044093795093795,0.22067910353535353,0.322,10.0,0.2,1.0
move,move,0.322,0.2155874053030303,"(10, 1)",,,,,,,,,,,,,,,
,,,,,175.0,35.0,0.0,10.0,1.0,move,0.48,16.0,40.0,0.6159640151515152,0.23653018181818186,0.4416,10.0,0.2,1.0
move,move,0.4416,0.24516354876496058,"(9, 1)",,,,,,,,,,,,,,,
,,,,,176.0,35.0,1.0,9.0,1.0,move,0.35,16.0,40.0,0.5107573932603345,0.22345635955139634,0.322,10.0,0.2,1.0
move,move,0.322,0.271704071969697,"(8, 1)",,,,,,,,,,,,,,,
,,,,,177.0,35.0,2.0,8.0,1.0,move,0.35,16.0,40.0,0.7762973484848485,0.271704071969697,0.322,10.0,0.2,1.0
move,move,0.322,0.24285789141414138,"(7, 1)",,,,,,,,,,,,,,,
,,,,,178.0,35.0,3.0,7.0,1.0,move,0.35,16.0,40.0,0.6938796897546897,0.24285789141414138,0.322,10.0,0.2,1.0
move,move,0.322,0.27845404040404037,"(6, 1)",,,,,,,,,,,,,,,
,,,,,179.0,35.0,4.0,6.0,1.0,move,0.675,16.0,40.0,0.7955829725829726,0.26850925324675323,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.2607377435064934,"(5, 1)",,,,,,,,,,,,,,,
,,,,,185.0,37.0,0.0,5.0,1.0,move,0.35,16.0,40.0,0.3862781385281384,0.2703946969696969,0.322,10.0,0.2,1.0
move,move,0.322,0.2701756313131313,"(5, 2)",,,,,,,,,,,,,,,
,,,,,186.0,37.0,1.0,5.0,2.0,move,0.35,16.0,40.0,0.7719303751803753,0.2701756313131313,0.322,10.0,0.2,1.0
move,move,0.322,0.23553143939393936,"(5, 1)",,,,,,,,,,,,,,,
,,,,,187.0,37.0,2.0,5.0,1.0,move,0.35,16.0,40.0,0.6729469696969697,0.23553143939393936,0.322,10.0,0.2,1.0
move,move,0.322,0.2701756313131313,"(4, 1)",,,,,,,,,,,,,,,
,,,,,188.0,37.0,3.0,4.0,1.0,move,0.35,16.0,40.0,0.7719303751803753,0.2701756313131313,0.322,10.0,0.2,1.0
move,move,0.322,0.2137429924242424,"(5, 1)",,,,,,,,,,,,,,,
,,,,,189.0,37.0,4.0,5.0,1.0,move,0.35,16.0,40.0,0.6106942640692641,0.2137429924242424,0.322,10.0,0.2,1.0
move,move,0.322,0.2929256313131314,"(5, 2)",,,,,,,,,,,,,,,
,,,,,195.0,39.0,0.0,5.0,2.0,move,0.35,17.0,40.0,0.8369303751803754,0.2929256313131314,0.322,10.0,0.2,1.0
move,move,0.322,0.2810314393939394,"(4, 2)",,,,,,,,,,,,,,,
,,,,,196.0,39.0,1.0,4.0,2.0,move,0.48,17.0,40.0,0.8029469696969698,0.30833163636363636,0.4416,10.0,0.2,1.0
move,move,0.4416,0.29267726406926414,"(3, 2)",,,,,,,,,,,,,,,
,,,,,197.0,39.0,2.0,3.0,2.0,move,0.35,17.0,40.0,0.6097443001443004,0.2667631313131314,0.322,10.0,0.2,1.0
move,move,0.322,0.2524409722222223,"(2, 2)",,,,,,,,,,,,,,,
,,,,,198.0,39.0,3.0,2.0,2.0,move,0.35,17.0,40.0,0.7212599206349208,0.2524409722222223,0.322,10.0,0.2,1.0
move,move,0.322,0.2012784406565656,"(3, 2)",,,,,,,,,,,,,,,
,,,,,199.0,39.0,4.0,3.0,2.0,move,0.35,17.0,40.0,0.575081259018759,0.2012784406565656,0.322,10.0,0.2,1.0
