action,decision,v_chase,v_move,position,global_step,round,step_in_round,security_row,security_col,security_move,p_alien_belief,gold_mines_map_count,gold_mine_total_ground_truth,inferred_forager_movement,Vmove_t,Vchase_t,lead_weight,follow_weight,alpha
,,,,,25.0,5.0,0.0,0.0,10.0,move,0.35,1.0,40.0,0.10833333333333334,0.03791666666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.028437499999999998,"(0, 9)",,,,,,,,,,,,,,,
,,,,,26.0,5.0,1.0,0.0,9.0,move,0.35,1.0,40.0,0.08125,0.028437499999999998,0.322,10.0,0.2,1.0
move,move,0.322,0.02275,"(0, 8)",,,,,,,,,,,,,,,
,,,,,27.0,5.0,2.0,0.0,8.0,move,0.35,1.0,40.0,0.065,0.02275,0.322,10.0,0.2,1.0
move,move,0.322,0.018958333333333334,"(0, 7)",,,,,,,,,,,,,,,
,,,,,28.0,5.0,3.0,0.0,7.0,move,0.87,2.0,40.0,0.05416666666666667,0.009425000000000001,0.8004,10.0,0.2,1.0
,,,,,29.0,5.0,4.0,0.0,7.0,chase_at_spot,0.87,2.0,40.0,0.1132857142857143,0.09855857142857144,0.8004,10.0,0.2,1.0
move,move,0.8004,0.09855857142857144,"(0, 6)",,,,,,,,,,,,,,,
,,,,,35.0,7.0,0.0,0.0,6.0,move,0.35,2.0,40.0,0.1132857142857143,0.19825,0.322,10.0,0.2,1.0
move,move,0.322,0.19621875,"(0, 5)",,,,,,,,,,,,,,,
,,,,,36.0,7.0,1.0,0.0,5.0,move,0.35,2.0,40.0,0.560625,0.19621875,0.322,10.0,0.2,1.0
move,move,0.322,0.1036388888888889,"(0, 4)",,,,,,,,,,,,,,,
,,,,,37.0,7.0,2.0,0.0,4.0,move,0.35,2.0,40.0,0.29611111111111116,0.1036388888888889,0.322,10.0,0.2,1.0
move,move,0.322,0.07204166666666667,"(0, 3)",,,,,,,,,,,,,,,
,,,,,38.0,7.0,3.0,0.0,3.0,move,0.35,2.0,40.0,0.20583333333333334,0.07204166666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.055840909090909094,"(0, 2)",,,,,,,,,,,,,,,
,,,,,39.0,7.0,4.0,0.0,2.0,move,0.35,2.0,40.0,0.15954545454545457,0.055840909090909094,0.322,10.0,0.2,1.0
move,move,0.322,0.05497916666666667,"(0, 1)",,,,,,,,,,,,,,,
,,,,,45.0,9.0,0.0,0.0,1.0,move,0.35,3.0,40.0,0.15708333333333335,0.05497916666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.04666666666666666,"(1, 1)",,,,,,,,,,,,,,,
,,,,,46.0,9.0,1.0,1.0,1.0,move,0.35,3.0,40.0,0.13333333333333333,0.04666666666666666,0.322,10.0,0.2,1.0
move,move,0.322,0.04457916666666667,"(1, 0)",,,,,,,,,,,,,,,
,,,,,47.0,9.0,2.0,1.0,0.0,move,0.87,4.0,40.0,0.12736904761904763,0.02216221428571429,0.8004,10.0,0.2,1.0
,,,,,48.0,9.0,3.0,1.0,0.0,chase_at_spot,0.87,4.0,40.0,0.12633333333333333,0.10991,0.8004,10.0,0.2,1.0
move,move,0.8004,0.10991,"(2, 0)",,,,,,,,,,,,,,,
,,,,,49.0,9.0,4.0,2.0,0.0,move,0.35,4.0,40.0,0.12633333333333333,0.22108333333333333,0.322,10.0,0.2,1.0
move,move,0.322,0.2208013888888889,"(3, 0)",,,,,,,,,,,,,,,
,,,,,55.0,11.0,0.0,3.0,0.0,move,0.35,4.0,40.0,0.6308611111111112,0.2208013888888889,0.322,10.0,0.2,1.0
move,move,0.322,0.12712424242424242,"(4, 0)",,,,,,,,,,,,,,,
,,,,,56.0,11.0,1.0,4.0,0.0,move,0.35,4.0,40.0,0.3632121212121212,0.12712424242424242,0.322,10.0,0.2,1.0
move,move,0.322,0.09319128787878789,"(5, 0)",,,,,,,,,,,,,,,
,,,,,57.0,11.0,2.0,5.0,0.0,move,0.675,5.0,40.0,0.26626082251082256,0.0898630275974026,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.18210937499999996,"(6, 0)",,,,,,,,,,,,,,,
,,,,,58.0,11.0,3.0,6.0,0.0,move,0.675,6.0,40.0,0.2697916666666666,0.18210937499999996,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.28068482142857143,"(7, 0)",,,,,,,,,,,,,,,
,,,,,59.0,11.0,4.0,7.0,0.0,move,0.35,6.0,40.0,0.4158293650793651,0.29108055555555556,0.322,10.0,0.2,1.0
move,move,0.322,0.2351916666666667,"(8, 0)",,,,,,,,,,,,,,,
,,,,,65.0,13.0,0.0,8.0,0.0,move,0.35,7.0,40.0,0.6719761904761906,0.2351916666666667,0.322,10.0,0.2,1.0
move,move,0.322,0.15175407196969698,"(9, 0)",,,,,,,,,,,,,,,
,,,,,66.0,13.0,1.0,9.0,0.0,move,0.35,7.0,40.0,0.4335830627705628,0.15175407196969698,0.322,10.0,0.2,1.0
move,move,0.322,0.11746200980392157,"(10, 0)",,,,,,,,,,,,,,,
,,,,,67.0,13.0,2.0,10.0,0.0,move,0.675,8.0,40.0,0.3356057422969188,0.11326693802521008,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.2038235294117647,"(11, 0)",,,,,,,,,,,,,,,
,,,,,68.0,13.0,3.0,11.0,0.0,move,0.87,9.0,40.0,0.30196078431372547,0.10508235294117649,0.8004,10.0,0.2,1.0
,,,,,69.0,13.0,4.0,11.0,0.0,chase_at_spot,0.87,9.0,40.0,0.21717819548872183,0.18894503007518798,0.8004,10.0,0.2,1.0
move,move,0.8004,0.204025030075188,"(11, 1)",,,,,,,,,,,,,,,
,,,,,75.0,15.0,0.0,11.0,1.0,move,0.48,11.0,40.0,0.23451152882205517,0.4502621353383459,0.4416,10.0,0.2,1.0
move,move,0.4416,0.43747651438757323,"(12, 1)",,,,,,,,,,,,,,,
,,,,,76.0,15.0,1.0,12.0,1.0,move,0.35,11.0,40.0,0.9114094049741109,0.3987416146761735,0.322,10.0,0.2,1.0
move,move,0.322,0.27478892543859645,"(12, 2)",,,,,,,,,,,,,,,
,,,,,77.0,15.0,2.0,12.0,2.0,move,0.35,11.0,40.0,0.7851112155388471,0.27478892543859645,0.322,10.0,0.2,1.0
move,move,0.322,0.2153246323529412,"(12, 3)",,,,,,,,,,,,,,,
,,,,,78.0,15.0,3.0,12.0,3.0,move,0.48,12.0,40.0,0.6152132352941178,0.2362418823529412,0.4416,10.0,0.2,1.0
move,move,0.4416,0.24485736694677873,"(12, 4)",,,,,,,,,,,,,,,
,,,,,79.0,15.0,4.0,12.0,4.0,move,0.35,12.0,40.0,0.5101195144724557,0.22317728758169936,0.322,10.0,0.2,1.0
move,move,0.322,0.20001164772727276,"(12, 5)",,,,,,,,,,,,,,,
,,,,,85.0,17.0,0.0,12.0,5.0,move,0.35,12.0,40.0,0.5714618506493507,0.20001164772727276,0.322,10.0,0.2,1.0
move,move,0.322,0.16164810606060606,"(12, 6)",,,,,,,,,,,,,,,
,,,,,86.0,17.0,1.0,12.0,6.0,move,0.35,12.0,40.0,0.4618517316017316,0.16164810606060606,0.322,10.0,0.2,1.0
move,move,0.322,0.14217905154486035,"(12, 7)",,,,,,,,,,,,,,,
,,,,,87.0,17.0,2.0,12.0,7.0,move,0.87,13.0,40.0,0.4062258615567439,0.07068329991087344,0.8004,10.0,0.2,1.0
,,,,,88.0,17.0,3.0,12.0,7.0,chase_at_spot,0.87,13.0,40.0,0.17809047619047624,0.15493871428571432,0.8004,10.0,0.2,1.0
move,move,0.8004,0.15493871428571432,"(12, 8)",,,,,,,,,,,,,,,
,,,,,89.0,17.0,4.0,12.0,8.0,move,0.35,13.0,40.0,0.17809047619047624,0.3116583333333334,0.322,10.0,0.2,1.0
move,move,0.322,0.30613412413609786,"(12, 9)",,,,,,,,,,,,,,,
,,,,,95.0,19.0,0.0,12.0,9.0,move,0.35,14.0,40.0,0.8746689261031367,0.30613412413609786,0.322,10.0,0.2,1.0
move,move,0.322,0.20581897095959595,"(12, 10)",,,,,,,,,,,,,,,
,,,,,96.0,19.0,1.0,12.0,10.0,move,0.35,14.0,40.0,0.5880542027417027,0.20581897095959595,0.322,10.0,0.2,1.0
move,move,0.322,0.16814392268270947,"(12, 11)",,,,,,,,,,,,,,,
,,,,,97.0,19.0,2.0,12.0,11.0,move,0.35,14.0,40.0,0.4804112076648842,0.16814392268270947,0.322,10.0,0.2,1.0
move,move,0.322,0.1471943516042781,"(11, 11)",,,,,,,,,,,,,,,
,,,,,98.0,19.0,3.0,11.0,11.0,move,0.35,14.0,40.0,0.4205552902979374,0.1471943516042781,0.322,10.0,0.2,1.0
move,move,0.322,0.14527656157159832,"(11, 12)",,,,,,,,,,,,,,,
,,,,,99.0,19.0,4.0,11.0,12.0,move,0.35,14.0,40.0,0.4150758902045667,0.14527656157159832,0.322,10.0,0.2,1.0
move,move,0.322,0.14984851827094472,"(10, 12)",,,,,,,,,,,,,,,
,,,,,105.0,21.0,0.0,10.0,12.0,move,0.35,15.0,40.0,0.4281386236312707,0.14984851827094472,0.322,10.0,0.2,1.0
move,move,0.322,0.15340358177361854,"(10, 11)",,,,,,,,,,,,,,,
,,,,,106.0,21.0,1.0,10.0,11.0,move,0.35,15.0,40.0,0.4382959479246244,0.15340358177361854,0.322,10.0,0.2,1.0
move,move,0.322,0.1725130366161616,"(10, 10)",,,,,,,,,,,,,,,
,,,,,107.0,21.0,2.0,10.0,10.0,move,0.87,16.0,40.0,0.4928943903318903,0.0857636239177489,0.8004,10.0,0.2,1.0
,,,,,108.0,21.0,3.0,10.0,10.0,chase_at_spot,0.87,16.0,40.0,0.2150466640085061,0.18709059768740033,0.8004,10.0,0.2,1.0
move,move,0.8004,0.18709059768740033,"(11, 10)",,,,,,,,,,,,,,,
,,,,,109.0,21.0,4.0,11.0,10.0,move,0.35,16.0,40.0,0.2150466640085061,0.37633166201488566,0.322,10.0,0.2,1.0
move,move,0.322,0.4090752840909091,"(11, 9)",,,,,,,,,,,,,,,
,,,,,115.0,23.0,0.0,11.0,9.0,move,0.35,18.0,40.0,1.168786525974026,0.4090752840909091,0.322,10.0,0.2,1.0
move,move,0.322,0.3509299574694311,"(11, 8)",,,,,,,,,,,,,,,
,,,,,116.0,23.0,1.0,11.0,8.0,move,0.35,18.0,40.0,1.0026570213412318,0.3509299574694311,0.322,10.0,0.2,1.0
move,move,0.322,0.3690409090909091,"(11, 7)",,,,,,,,,,,,,,,
,,,,,117.0,23.0,2.0,11.0,7.0,move,0.35,18.0,40.0,1.0544025974025975,0.3690409090909091,0.322,10.0,0.2,1.0
move,move,0.322,0.43348700609031493,"(11, 6)",,,,,,,,,,,,,,,
,,,,,118.0,23.0,3.0,11.0,6.0,move,0.675,19.0,40.0,1.2385343031151856,0.41800532730137513,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.4329423701298701,"(11, 5)",,,,,,,,,,,,,,,
,,,,,119.0,23.0,4.0,11.0,5.0,move,0.48,20.0,40.0,0.6413961038961038,0.49259220779220775,0.4416,10.0,0.2,1.0
move,move,0.4416,0.5489835497835497,"(11, 4)",,,,,,,,,,,,,,,
,,,,,125.0,25.0,0.0,11.0,4.0,move,0.35,21.0,40.0,1.1437157287157285,0.5003756313131311,0.322,10.0,0.2,1.0
move,move,0.322,0.44664027777777787,"(11, 3)",,,,,,,,,,,,,,,
,,,,,126.0,25.0,1.0,11.0,3.0,move,0.35,21.0,40.0,1.2761150793650797,0.44664027777777787,0.322,10.0,0.2,1.0
move,move,0.322,0.440821433080808,"(11, 2)",,,,,,,,,,,,,,,
,,,,,127.0,25.0,2.0,11.0,2.0,move,0.35,21.0,40.0,1.2594898088023088,0.440821433080808,0.322,10.0,0.2,1.0
move,move,0.322,0.4599939542483661,"(10, 2)",,,,,,,,,,,,,,,
,,,,,128.0,25.0,3.0,10.0,2.0,move,0.35,21.0,40.0,1.3142684407096175,0.4599939542483661,0.322,10.0,0.2,1.0
move,move,0.322,0.43904258207070707,"(10, 1)",,,,,,,,,,,,,,,
,,,,,129.0,25.0,4.0,10.0,1.0,move,0.48,22.0,40.0,1.2544073773448774,0.4816924329004329,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6156025098039216,"(9, 1)",,,,,,,,,,,,,,,
,,,,,135.0,27.0,0.0,9.0,1.0,move,0.35,22.0,40.0,1.2825052287581702,0.5610960375816995,0.322,10.0,0.2,1.0
move,move,0.322,0.47751240530303013,"(10, 1)",,,,,,,,,,,,,,,
,,,,,136.0,27.0,1.0,10.0,1.0,move,0.48,22.0,40.0,1.3643211580086576,0.5238993246753246,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6156025098039216,"(10, 0)",,,,,,,,,,,,,,,
,,,,,137.0,27.0,2.0,10.0,0.0,move,0.675,22.0,40.0,1.2825052287581702,0.541056893382353,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.5906302461325438,"(10, 1)",,,,,,,,,,,,,,,
,,,,,138.0,27.0,3.0,10.0,1.0,move,0.48,22.0,40.0,0.8750077720482129,0.6720059689330277,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6156025098039216,"(10, 0)",,,,,,,,,,,,,,,
,,,,,139.0,27.0,4.0,10.0,0.0,move,0.675,22.0,40.0,1.2825052287581702,0.541056893382353,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.6052552461325438,"(10, 1)",,,,,,,,,,,,,,,
,,,,,145.0,29.0,0.0,10.0,1.0,move,0.48,23.0,40.0,0.8966744387148796,0.6886459689330277,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6405625098039217,"(10, 0)",,,,,,,,,,,,,,,
,,,,,146.0,29.0,1.0,10.0,0.0,move,0.675,23.0,40.0,1.3345052287581702,0.562994393382353,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.6052552461325438,"(10, 1)",,,,,,,,,,,,,,,
,,,,,147.0,29.0,2.0,10.0,1.0,move,0.48,23.0,40.0,0.8966744387148796,0.6886459689330277,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6405625098039217,"(10, 0)",,,,,,,,,,,,,,,
,,,,,148.0,29.0,3.0,10.0,0.0,move,0.675,23.0,40.0,1.3345052287581702,0.562994393382353,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.6052552461325438,"(10, 1)",,,,,,,,,,,,,,,
,,,,,149.0,29.0,4.0,10.0,1.0,move,0.48,23.0,40.0,0.8966744387148796,0.6886459689330277,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6405625098039217,"(9, 1)",,,,,,,,,,,,,,,
,,,,,155.0,31.0,0.0,9.0,1.0,move,0.35,23.0,40.0,1.3345052287581702,0.5838460375816994,0.322,10.0,0.2,1.0
move,move,0.322,0.5230124053030302,"(8, 1)",,,,,,,,,,,,,,,
,,,,,156.0,31.0,1.0,8.0,1.0,move,0.35,23.0,40.0,1.4943211580086577,0.5230124053030302,0.322,10.0,0.2,1.0
move,move,0.322,0.4832093434343435,"(7, 1)",,,,,,,,,,,,,,,
,,,,,157.0,31.0,2.0,7.0,1.0,move,0.35,23.0,40.0,1.3805981240981244,0.4832093434343435,0.322,10.0,0.2,1.0
move,move,0.322,0.5560901515151515,"(6, 1)",,,,,,,,,,,,,,,
,,,,,158.0,31.0,3.0,6.0,1.0,move,0.675,24.0,40.0,1.5888290043290043,0.5362297889610389,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.6088020292207792,"(5, 1)",,,,,,,,,,,,,,,
,,,,,159.0,31.0,4.0,5.0,1.0,move,0.35,24.0,40.0,0.9019289321789321,0.6313502525252526,0.322,10.0,0.2,1.0
move,move,0.322,0.5938390782828282,"(5, 2)",,,,,,,,,,,,,,,
,,,,,165.0,33.0,0.0,5.0,2.0,move,0.35,24.0,40.0,1.6966830808080806,0.5938390782828282,0.322,10.0,0.2,1.0
move,move,0.322,0.5150203282828282,"(5, 3)",,,,,,,,,,,,,,,
,,,,,166.0,33.0,1.0,5.0,3.0,move,0.675,25.0,40.0,1.471486652236652,0.49662674512987004,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.5130581371753246,"(5, 4)",,,,,,,,,,,,,,,
,,,,,167.0,33.0,2.0,5.0,4.0,move,0.48,26.0,40.0,0.7600861291486289,0.5837461471861471,0.4416,10.0,0.2,1.0
move,move,0.4416,0.5936788225108224,"(5, 5)",,,,,,,,,,,,,,,
,,,,,168.0,33.0,3.0,5.0,5.0,move,0.35,26.0,40.0,1.23683088023088,0.54111351010101,0.322,10.0,0.2,1.0
move,move,0.322,0.46835864898989893,"(4, 5)",,,,,,,,,,,,,,,
,,,,,169.0,33.0,4.0,4.0,5.0,move,0.675,27.0,40.0,1.3381675685425685,0.4516315543831168,0.6210000000000001,10.0,0.2,1.0
move,move,0.6210000000000001,0.5031031655844156,"(3, 5)",,,,,,,,,,,,,,,
,,,,,175.0,35.0,0.0,3.0,5.0,move,0.48,28.0,40.0,0.745338023088023,0.5724196017316018,0.4416,10.0,0.2,1.0
move,move,0.4416,0.6059638441558441,"(3, 6)",,,,,,,,,,,,,,,
,,,,,176.0,35.0,1.0,3.0,6.0,move,0.35,28.0,40.0,1.2624246753246753,0.5523107954545453,0.322,10.0,0.2,1.0
move,move,0.322,0.46765378787878803,"(2, 6)",,,,,,,,,,,,,,,
,,,,,177.0,35.0,2.0,2.0,6.0,move,0.35,28.0,40.0,1.3361536796536801,0.46765378787878803,0.322,10.0,0.2,1.0
move,move,0.322,0.43382512626262626,"(1, 6)",,,,,,,,,,,,,,,
,,,,,178.0,35.0,3.0,1.0,6.0,move,0.35,28.0,40.0,1.2395003607503607,0.43382512626262626,0.322,10.0,0.2,1.0
move,move,0.322,0.4031316919191919,"(1, 7)",,,,,,,,,,,,,,,
,,,,,179.0,35.0,4.0,1.0,7.0,move,0.35,28.0,40.0,1.1518048340548341,0.4031316919191919,0.322,10.0,0.2,1.0
move,move,0.322,0.46552706290849677,"(1, 8)",,,,,,,,,,,,,,,
,,,,,185.0,37.0,0.0,1.0,8.0,move,0.35,28.0,40.0,1.3300773225957052,0.46552706290849677,0.322,10.0,0.2,1.0
move,move,0.322,0.3558973819073084,"(1, 9)",,,,,,,,,,,,,,,
,,,,,186.0,37.0,1.0,1.0,9.0,move,0.35,28.0,40.0,1.0168496625923098,0.3558973819073084,0.322,10.0,0.2,1.0
move,move,0.322,0.31242633298933603,"(1, 10)",,,,,,,,,,,,,,,
,,,,,187.0,37.0,2.0,1.0,10.0,move,0.35,28.0,40.0,0.8926466656838173,0.31242633298933603,0.322,10.0,0.2,1.0
move,move,0.322,0.2914997607655503,"(1, 11)",,,,,,,,,,,,,,,
,,,,,188.0,37.0,3.0,1.0,11.0,move,0.35,28.0,40.0,0.8328564593301437,0.2914997607655503,0.322,10.0,0.2,1.0
move,move,0.322,0.2839945743229509,"(1, 12)",,,,,,,,,,,,,,,
,,,,,189.0,37.0,4.0,1.0,12.0,move,0.35,28.0,40.0,0.8114130694941454,0.2839945743229509,0.322,10.0,0.2,1.0
move,move,0.322,0.24445031751336893,"(0, 12)",,,,,,,,,,,,,,,
,,,,,195.0,39.0,0.0,0.0,12.0,move,0.35,28.0,40.0,0.6984294786096256,0.24445031751336893,0.322,10.0,0.2,1.0
move,move,0.322,0.22868467797336672,"(1, 12)",,,,,,,,,,,,,,,
,,,,,196.0,39.0,1.0,1.0,12.0,move,0.35,28.0,40.0,0.6533847942096193,0.22868467797336672,0.322,10.0,0.2,1.0
move,move,0.322,0.24445031751336893,"(0, 12)",,,,,,,,,,,,,,,
,,,,,197.0,39.0,2.0,0.0,12.0,move,0.35,28.0,40.0,0.6984294786096256,0.24445031751336893,0.322,10.0,0.2,1.0
move,move,0.322,0.22868467797336672,"(1, 12)",,,,,,,,,,,,,,,
,,,,,198.0,39.0,3.0,1.0,12.0,move,0.35,28.0,40.0,0.6533847942096193,0.22868467797336672,0.322,10.0,0.2,1.0
move,move,0.322,0.24445031751336893,"(0, 12)",,,,,,,,,,,,,,,
,,,,,199.0,39.0,4.0,0.0,12.0,move,0.35,28.0,40.0,0.6984294786096256,0.24445031751336893,0.322,10.0,0.2,1.0
